Match Date,Season,City,Team 1,Team 2,Toss Winner,Toss Decision,Dl applied,Result,Winner,Won by Runs,Won by Wickets,Player of the Match,Venue,Umpire 1,Umpire 2,Match Id
2011-05-01,2011,Chennai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,0,normal,Chennai Super Kings,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,2011-05-01_Chennai Super Kings_Deccan Chargers
2011-04-30,2011,Kochi,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,bat,0,normal,Delhi Daredevils,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,2011-04-30_Kochi Tuskers Kerala_Delhi Daredevils
2011-04-30,2011,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,0,normal,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,2011-04-30_Kolkata Knight Riders_Kings XI Punjab
2011-04-29,2011,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,2011-04-29_Rajasthan Royals_Mumbai Indians
2011-04-29,2011,Bangalore,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,0,normal,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,2011-04-29_Royal Challengers Bangalore_Pune Warriors
2011-04-28,2011,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,0,normal,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,2011-04-28_Delhi Daredevils_Kolkata Knight Riders
2011-04-27,2011,Mumbai,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,0,normal,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,2011-04-27_Pune Warriors_Chennai Super Kings
2011-04-27,2011,Kochi,Kochi Tuskers Kerala,Deccan Chargers,Kochi Tuskers Kerala,field,0,normal,Deccan Chargers,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,2011-04-27_Kochi Tuskers Kerala_Deccan Chargers
2011-04-26,2011,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,2011-04-26_Delhi Daredevils_Royal Challengers Bangalore
2011-04-25,2011,Chennai,Chennai Super Kings,Pune Warriors,Pune Warriors,field,0,normal,Chennai Super Kings,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,2011-04-25_Chennai Super Kings_Pune Warriors
2011-04-24,2011,Hyderabad,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,0,normal,Mumbai Indians,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,AL Hill,2011-04-24_Deccan Chargers_Mumbai Indians
2011-04-24,2011,Jaipur,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,2011-04-24_Rajasthan Royals_Kochi Tuskers Kerala
2011-04-23,2011,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,0,normal,Delhi Daredevils,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,2011-04-23_Delhi Daredevils_Kings XI Punjab
2011-04-22,2011,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0,normal,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,2011-04-22_Mumbai Indians_Chennai Super Kings
2011-04-22,2011,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,2011-04-22_Kolkata Knight Riders_Royal Challengers Bangalore
2011-04-21,2011,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,0,normal,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,PR Reiffel,2011-04-21_Kings XI Punjab_Rajasthan Royals
2011-04-20,2011,Mumbai,Mumbai Indians,Pune Warriors,Pune Warriors,bat,0,normal,Mumbai Indians,0,7,MM Patel,Wankhede Stadium,Asad Rauf,AM Saheba,2011-04-20_Mumbai Indians_Pune Warriors
2011-04-20,2011,Kolkata,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,0,normal,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens,Aleem Dar,RB Tiffin,2011-04-20_Kolkata Knight Riders_Kochi Tuskers Kerala
2011-04-19,2011,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,0,normal,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla,PR Reiffel,RJ Tucker,2011-04-19_Delhi Daredevils_Deccan Chargers
2011-04-18,2011,Kochi,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,1,normal,Kochi Tuskers Kerala,0,7,BB McCullum,Nehru Stadium,K Hariharan,AL Hill,2011-04-18_Kochi Tuskers Kerala_Chennai Super Kings
2011-04-17,2011,Mumbai,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,0,normal,Delhi Daredevils,0,3,Yuvraj Singh,Dr DY Patil Sports Academy,Asad Rauf,AM Saheba,2011-04-17_Pune Warriors_Delhi Daredevils
2011-04-17,2011,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,0,normal,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,2011-04-17_Kolkata Knight Riders_Rajasthan Royals
2011-04-16,2011,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,0,normal,Chennai Super Kings,21,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,AL Hill,2011-04-16_Chennai Super Kings_Royal Challengers Bangalore
2011-04-16,2011,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,0,normal,Kings XI Punjab,0,8,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,2011-04-16_Deccan Chargers_Kings XI Punjab
2011-04-15,2011,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,0,normal,Kolkata Knight Riders,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,SS Hazare,2011-04-15_Rajasthan Royals_Kolkata Knight Riders
2011-04-15,2011,Mumbai,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,0,normal,Kochi Tuskers Kerala,0,8,BB McCullum,Wankhede Stadium,BR Doctrove,PR Reiffel,2011-04-15_Mumbai Indians_Kochi Tuskers Kerala
2011-04-14,2011,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Deccan Chargers,33,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,2011-04-14_Deccan Chargers_Royal Challengers Bangalore
2011-04-13,2011,Chandigarh,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,0,normal,Kings XI Punjab,0,6,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SL Shastri,2011-04-13_Kings XI Punjab_Chennai Super Kings
2011-04-13,2011,Mumbai,Pune Warriors,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,0,normal,Pune Warriors,0,4,MD Mishra,Dr DY Patil Sports Academy,S Asnani,PR Reiffel,2011-04-13_Pune Warriors_Kochi Tuskers Kerala
2011-04-12,2011,Jaipur,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,0,normal,Rajasthan Royals,0,6,SK Warne,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,2011-04-12_Rajasthan Royals_Delhi Daredevils
2011-04-12,2011,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,9,SR Tendulkar,M Chinnaswamy Stadium,HDPK Dharmasena,AL Hill,2011-04-12_Royal Challengers Bangalore_Mumbai Indians
2011-04-11,2011,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,0,normal,Kolkata Knight Riders,9,0,JH Kallis,Eden Gardens,RE Koertzen,SK Tarapore,2011-04-11_Kolkata Knight Riders_Deccan Chargers
2011-04-10,2011,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,0,normal,Mumbai Indians,0,8,SL Malinga,Feroz Shah Kotla,AM Saheba,RB Tiffin,2011-04-10_Delhi Daredevils_Mumbai Indians
2011-04-10,2011,Mumbai,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,0,normal,Pune Warriors,0,7,SB Wagh,Dr DY Patil Sports Academy,BR Doctrove,PR Reiffel,2011-04-10_Pune Warriors_Kings XI Punjab
2011-04-09,2011,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,8,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,SK Tarapore,2011-04-09_Deccan Chargers_Rajasthan Royals
2011-04-09,2011,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,0,normal,Royal Challengers Bangalore,0,6,AB de Villiers,Nehru Stadium,HDPK Dharmasena,K Hariharan,2011-04-09_Kochi Tuskers Kerala_Royal Challengers Bangalore
2011-04-08,2011,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,0,normal,Chennai Super Kings,2,0,S Anirudha,"MA Chidambaram Stadium, Chepauk",BR Doctrove,PR Reiffel,2011-04-08_Chennai Super Kings_Kolkata Knight Riders
